Asher	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	Adler	placeName	tempindexreal	place_ID	Gazetter	ContexTypology	Borders&Hierarchies	vocabularyType	tripleComparsion
עין שפתה	שפתה	שפתה	שפתה	שפתה	"Ain
                        Siptha"	عين شفاثة	temp0591			itin			fullAgreement
קבר נחום האלקושי					sepulchre of the prophet 	قبر النبي ناحوم الألقوشي عليه السلام	temp0592					קבר	fullAgreement
לפרס	לפרס	אלקדם	לפראס	אלנרס	Kefar Al-Keram	كفر الكرم El -Karm	temp0593			itin			fullAgreement
קבר					sepulchres of 	حسداي	temp0594					קבר	fullAgreement
רבי עקיבה						عقيبة	temp0595					קבר	fullAgreement
רבי דוסא						دوسة	temp0596					קבר	fullAgreement
כפר מהמדבר					village in the desert		temp0597			itin			AsherAdlerAgreement
[קבר]							temp0598					קבר	AsherAdlerAgreement
						داود	temp0599						HaddadOnly
רבי יהודה						يهوذا	temp0600					קבר	fullAgreement
						أبايي	temp0601						HaddadOnly
						كردية	temp0602						HaddadOnly
רבי קובריה							temp0603					קבר	AsherAdlerAgreement
רבי סחורא						سحورة	temp0604					קבר	fullAgreement
						إدة	temp0605						HaddadOnly
רבי אבא					>		temp0606					קבר	AsherAdlerAgreement
נהר ליגא	ליגא	דגה	ליגא	רגא	Raga	نهر ريجة	temp0607			itin			fullAgreement
קברו של צדקיהו המלך					"sepulchre
                    of King Zedekiah"	قبر صدقية ملك يهوذا	temp0608					קבר	fullAgreement
קופה	קופה	קופה	קופא	קופה	Kufa	الكوفة	temp0609	#Q186234	Wikidata	itin		עיר	fullAgreement
קברו של					sepulchre of King 	قبر يكنية ملك يهوذا	temp0610					קבר	fullAgreement
סוריא	סוריא	סורא	סוריאה	סורא	Sura	سورا	temp0611	#Q4446399	Wikidata	itin			fullAgreement
מתא מחסיא	מתא מחסיא	מתא מסיא	מתא מחסיא	מתא מחסיה	Mata Mehasya	مثامحسية	temp0612						fullAgreement
[קבר]					sepulchre of 	قبور الصالحين قبر الغاؤون الرابي شريرا	temp0613					קבר	fullAgreement
רבינו האיי						الرابي هاي	temp0614					קבר	fullAgreement
רבינו סעדיה אל פיומי						قبر الغاؤون	temp0615					קבר	fullAgreement
רב שמואל בן חפני הכהן					"
                    the son of "	صموئيل بن حفني الكاهن	temp0616					קבר	fullAgreement
צפניהו בן כושי בן גדליה הנביא					"
                    the son of Cushi the son of "	صفنية بن كوشي بن النبي جدلية	temp0617					קבר	fullAgreement
שפיתיב	שפיתיב	שפתיב	ספיתיב	שפיתיב	Shafjathib	شفياثيب	temp0618			itin			fullAgreement
ירושלם					Jerusalem	القدس	temp0619	#K691	KIMA				fullAgreement
שפיתיב	שפיתיב	שפת	ספיתיב	שפיתיב	Shafjathib	اليمن	temp0620						
נהרדעא	נהרדע'	נהרדעה	נהרדעא	נהרדעא	Nehardea	اليمن	temp0621	#K3373	KIMA				
אילגבר	אילנבר	#_	אלכיבר	אלינבר	El-Anbar	شنعار	temp0622						fullAgreement
							temp0623						AsherAdlerAgreement
							temp0624			itin			AsherAdlerAgreement
	פום בדיתא	_	פום בדיתא	פום בדיתא	Pumbedita		temp0625						AsherAdlerAgreement
					Nehardea		temp0626	#K3373	KIMA				AdlerOnly
פרת					Euphrates		temp0627	#K1412	KIMA				AsherAdlerAgreement
כנסת					Synagogue of 		temp0628						AsherAdlerAgreement
					Hillah		temp0629						AdlerOnly
מדבר ארץ שבא	שבא	שבא	שבא	שבא	Saba		temp0630			itin			AsherAdlerAgreement
	אלימן	אלימן	אלימן	אלימן	El-Yemen		temp0631						AsherAdlerAgreement
שנער	שנער	שנער	שנער	שנער	Shinar		temp0632	#Q1404297	Wikidata				AsherAdlerAgreement
תימא	תימא	תימא	תימא	תימא	Teima	تيماء	temp0633	#K16471	KIMA				fullAgreement
תימא	תימא	תימא	תימא	תימא	Teima	تيماء	temp0634	#K16471	KIMA				AsherAdlerAgreement
	_	שנער	_	שנער	Shinar		temp0635						AdlerOnly
אלימן	אלימן	אלימן	אלימן	אל ימן	El-Yemen	اليمن	temp0637					ארץ	fullAgreement
ירושלם					Jerusalem		temp0638	#K691	KIMA				AsherAdlerAgreement
תימא	תימא	תימא	תימא	תימא	Teima		temp0639	#K16471	KIMA				AsherAdlerAgreement
טילמאס	טילימאס	מזילמס	תילימאס	טילמס	Tilmas		temp0640	#K11251	KIMA				AsherAdlerAgreement
							temp0640b	#K662	KIMA				
תנאים					Tanai		temp0641						AsherAdlerAgreement
					Tanai		temp0642						AdlerOnly
ארמון הנשיא					"palace of
                        the Nasi called Salmon"	قصر الرئيس سليمان	temp0643					ארמון	fullAgreement
	_	תימא	_	תימא	Teima		temp0644	#K16471	KIMA				AdlerOnly
טילמאס	טילמאס	טלמס	תלמאס	טילמס	Tilmas	تلماس	temp0645	#K11251	KIMA	cityDesc		עיר	fullAgreement
טילמאס	מטילמאס	_	מטילמאס	מטילמס	Tilmas		temp0645b	#K11251	KIMA				
כיבר	כיבר	#בצר	חובר	כיכר	Kheibar	خيبر	temp0646	#K17130	KIMA	itin		עיר	fullAgreement
	כיבר	כיבר	חובר	כיכר		خيبر	temp0647						HaddadOnly
כיבר	כיבר	כיבר	חובר	כיכר	Kheibar	خيبر	temp0648	#K17130	KIMA		עורי מלחמה עם בני שנער וארץ צפון וארץ אלימן הקרובים אליהם שהיא תחלת ארץ הודו		AsherAdlerAgreement
שנער	שנער	שנער	שנער	שנער	Shinar	شنعار	temp0650	#Q1404297	Wikidata				fullAgreement
אלימן	אלימן	אלימן	אלימן	אל ימן	El-Yemen	اليمن	temp0651					ארץ	fullAgreement
הודו	הודו	הודו	הודו	הודו	India	الهند	temp0652						fullAgreement
ויראה	ויראה	ידא	ווירא	יראי	Virae	فيرا	temp0653						fullAgreement
אלימן	אלימן	אלימן	אלימן	אל ימן	El-Yemen	اليمن	temp0654			itin?		ארץ	fullAgreement
נאסט	נאסט	לוסים	נאסטא			واسط	temp0656			itin			HaddadAsherAgreement
בוצרה	בוצרה	בוצרה	בוצרה	בצרה	Basra 	البصرة	temp0657	#K9541	KIMA	itin			HaddadAsherAgreement
נהר חדקל					Tigris	دجلة	temp0658	#K2273	KIMA				fullAgreement
נהר סמורה	סמורה	סמרכה	סמורא	סמרה	Samara	نهر سمره	temp0659			itin	תחלת ארץ פרס		fullAgreement
פרס					Persia	العجم	temp0660	#K7639	KIMA				fullAgreement
קברו של עזרא הסופר					sepulchre of Ezra	قبر عزرا الكاهن	temp0661					קבר	fullAgreement
ירושלם					Jerusalem	القدس	temp0662	#K691	KIMA				fullAgreement
כוזסתאן	כוזסתאן	סרתאן	חוזסטאן	בזוזתאן	Khuzistan	خوزستان	temp0663	#Q102163938	Wikidata	itin		*מדינה	fullAgreement
עילם	עילם	עילם	עילם	עילם	Elam	عيلام	temp0664					מדינה	fullAgreement
שושן הבירה	שושן	שושן	שושן	שושן	Shushan	شوشان	temp0665	#K2448	KIMA			בירה+ארמון	fullAgreement
ארמון המלך					palace of King Ahasuerus	بقايا قصر أحشويروش	temp0666					ארמון	fullAgreement
							temp0666b						
קברו של					sepulchre of 	قبر النبي دانيال	temp0667			citysite		קבר	fullAgreement
נהר חדקל					Tigris	حدقل	temp0668	#K2273	KIMA				fullAgreement
פרס					Persia	الفرس	temp0669	#K7639	KIMA				fullAgreement
שער נהר סמורה	סומרה	סמכה	סומרא	סמרה	river Samara	شواطئ نهر سمرة	temp0670					שער	fullAgreement
סמרכנת	סמרכות	סמרכלת	סמרכוד	סמרכנת	Samarkand	سمرقند	temp0671	#K635	KIMA				fullAgreement
נהר גוזן				_	Gozan	نهر غوزان	temp0672						fullAgreement
ניסבור	גיסבור	_	גיסבור			نيسابور	temp0673	#K11790	KIMA				HaddadAsherAgreement
גוזן							temp0674					נהר	AsherOnly
מדי					Media	مادي	temp0675	#K22613	KIMA				fullAgreement
חפתון	חפתון	_	חפרון	חפטון	Chafton		temp0676					הרי	fullAgreement
טובות					Tibet	التبت	temp0677	#Q17252	Wikidata				fullAgreement
					Persia	العجم	temp0678	#K7639	KIMA				HaddadAdlerAgreement
						شوشان	temp0679						HaddadOnly
רובדבר	רובדבר	כובר	דוברבר	רודבר	Rudbar	رودبار	temp0680	#Q766927	Wikidata	itin			fullAgreement
נהר ואנת	נהר ואנת	נהר רואות	נהר וואנטו	נהר ואנת	Nihawand	نهاوند	temp0681	#K17899	KIMA	itin		נהר	fullAgreement
מולחאת	מולחאת	מולחת	מולחאת	מולחאת	Mulahid	أرض الملاحدة	temp0682			itin			fullAgreement
					Persia		temp0683	#K7639	KIMA				AdlerOnly
בבל					Babylon	بغداد	temp0684	#U4					fullAgreement
עמריה	עאריה	עמיראה	פריא	עמאריה	Amadia	العمادية	temp0685	#K6933	KIMA	itin	תחלת הקהלות הדרים בהרי חפתון, תחלת ארץ מדי		fullAgreement
חפתון	חפתון	חפניון	חפרון	חפטון	Chafton	خفتيان	temp0686					הרי	fullAgreement
מדי					Media	مادي	temp0687	#K22613	KIMA				fullAgreement
עמאריה	עמאריה	עמיראה	עמריה	עמאריה	Amadia	العمادية	temp0688	#K6933	KIMA			מדינת	fullAgreement
	_	גולן	_	גילן	Gilan		recogito-477061b7-e2ef-4baa-91e6-930b1cbedf0d						
פרס					Persia	العجم	temp0689	#K7639	KIMA				fullAgreement
					Persia		temp0690	#K7639	KIMA				AdlerOnly
עמאריה	עמאריה	עמיראה	עמריה	עמאריה	Amadia	العمادية	temp0691	#K6933	KIMA	biographic		עיר	fullAgreement
בגדאד	בגדאד	באגדיד	בגדד	בגדאד	Bagdad	بغداد	temp0692	#K662	KIMA			מדינת	fullAgreement
פרס					Persia	العجم	temp0693	#K7639	KIMA				fullAgreement
חפתון	חפתון	חפטון	חפרון	חפטון	Chafton	حبتون	temp0694					הרי	fullAgreement
ירושלם	ירושלם	ירושלם	ירושלם	ירושלם	Jerusalem	أورشليم	temp0695	#K691	KIMA				fullAgreement
ירושלם					Jerusalem		temp0696	#K691	KIMA				AsherAdlerAgreement
פרס					Persia	العجم	temp0697	#K7639	KIMA				fullAgreement
דברסתאן	דבסתאן	דבר זרתאן	דווסטאן	דברזתאן	Tabaristan	طبرستان	temp0698	#Q709175	Wikidata			עיר	fullAgreement
גוזן	גוזן	גוזן	גוזן	גוזן	Gozan	قيزيل أوزون	temp0699					נהר	fullAgreement
עמאריה	אל עמראיה	אלפמוראה	אלעמריה	עמאריה	Amadia	العمادية	temp0700	#K6933	KIMA				fullAgreement
פרס					Persia	العجم	temp0701	#K7639	KIMA				fullAgreement
בגדאד	בגדאד	באגדד	בגדד	בגדאד	Bagdad	بغداد	temp0702	#K662	KIMA				fullAgreement
	גדאד		בגדד	_		بغداد	temp0703						HaddadOnly
פרס		_			Persia	العجم	temp0704	#K7639	KIMA				fullAgreement
					Assur		temp0705						AdlerOnly
בגדאד						بغداد	temp0706	#K662	KIMA				HaddadAsherAgreement
					Persia	العجم	temp0707	#K7639	KIMA				HaddadAdlerAgreement
פרס					Persia	العجم	temp0708	#K7639	KIMA				fullAgreement
הר					mountain		temp0709					הר	AsherAdlerAgreement
פרס						العجم	temp0710	#K7639	KIMA				HaddadAsherAgreement
						العجم	temp0711						HaddadOnly
חמדן	חמדן	מדן	חמדן	חמרן	Hamadan	همذان	temp0712	#Q28587	Wikidata	itin			fullAgreement
מדי	מדי	מדי	מדי	מדי	Media	مادي	temp0713	#K22613	KIMA				fullAgreement
דברזתאן	דברזתאן	דבראתאן	דברזניאת		Tabaristan	طبرستان	temp0714	#Q709175	Wikidata	itin			fullAgreement
גוזן					Gozan	غوزان	temp0715					נהר	fullAgreement
אסבהאן	אסבהאן	אספראן	אצבהן	אספקאן	Ispahan	أصبهان	temp0716	#K340	KIMA	itin		עיר	fullAgreement
פרס					Persia	العجم	temp0717	#K7639	KIMA				fullAgreement
שיראז	שיאפז	שיריאין	ספיץ	שיראד	Shiraz	شيراز	temp0718	#K8061	KIMA	itin		מדינה*	fullAgreement
פרס המדינה	פרס	פרס	פרס	פרס	Fars	مدينة فارس	temp0719					מדינה	fullAgreement
גיבה	גינה	נזבה	גינה	גזנה	Ghaznah	خيوة	temp0720	#K12743	KIMA	itin		עיר	fullAgreement
גוזן					Gozan	غوزان	temp0721						fullAgreement
סמרכנת	סמרכנת	סמרכנת	סמרקאנטו	סמרכות	Samarkand	سمرقند	temp0722	#K635	KIMA	itin	אשר בקצה המלכות	עיר	fullAgreement
					Persia		temp0722b	#K7639	KIMA				
טובות	טובות	תעבת	טובות	טובות	Tibet	بلاد التبت	temp0723	#Q17252	Wikidata	itin		מדינה	fullAgreement
כסבין	ניסבון	ניסנור	נסבון	ניסבור	Naisabur	نيسابور	temp0724	*		itin		הרי	AsherAdlerAgreement
גוזן					Gozan	غوزان	temp0726					נהר	fullAgreement
					Assyria	أشور	temp0727						HaddadAdlerAgreement
פרס					Persia		temp0728	#K7639	KIMA			ארץ	AsherAdlerAgreement
ניסבור	ניסבור	ניסנור	נסבור	ניסבור	Naisabur		temp0729	#K11790	KIMA			ערי?הרי?-ניסבור	AsherAdlerAgreement
לחלח	לחלח	לחלח	חלח	חלח	Halah		temp0730						AsherAdlerAgreement
חבור	חבור	חבור	חבור	חבור	Habor		temp0731						AsherAdlerAgreement
הרי גוזן					Gozan		temp0732					הרי	AsherAdlerAgreement
הרי מדי					Medes		temp0733					הרי	AsherAdlerAgreement
גוזן					Gozan	غوزان	temp0734					נהר	fullAgreement
כות	כוש	כוש	כוש	כוש	Cush	الكاشيين	temp0735	#K6924	KIMA			ארץ	fullAgreement
פרס					Persia	العجم	temp0736	#K7639	KIMA	history			fullAgreement
ראי	ראי	רואי	ריי	ראי	Rayy		temp0737	#K19286	KIMA			מדינת	fullAgreement
פרס					Persia	العجم	temp0738	#K7639	KIMA				fullAgreement
פרס					Persia	العجم	temp0739	#K7639	KIMA				fullAgreement
ניסבור	ניספור	ניסבור	נסבור	ניסבור	Naisabur	نيسابور	temp0740	#K11790	KIMA				fullAgreement
גוזן					Gozan	غوزان	temp0741					נהר	fullAgreement
פרס					Persia		temp0742	#K7639	KIMA				AsherAdlerAgreement
פרס					Persia	العجم	temp0743	#K7639	KIMA				fullAgreement
פרס						العجم	temp0744	#K7639	KIMA				HaddadAsherAgreement
פרס						العجم	temp0745	#K7639	KIMA				HaddadAsherAgreement
						العجم	temp0746						HaddadOnly
						العجم	temp0747						HaddadOnly
פרס					Persia	العجم	temp0748	#K7639	KIMA	king of			fullAgreement
					Persia	العجم	temp0749	#K7639	KIMA				HaddadAdlerAgreement
פרס							temp0750	#K7639	KIMA				AsherOnly
פרס					Persia		temp0751	#K7639	KIMA	king of			AsherAdlerAgreement
פרס					Persia	العجم	temp0752	#K7639	KIMA				fullAgreement
אספהאן	אספהן	_	אספיהאן	אספהאן	Ispahan	أصبهان	temp0753	#K340	KIMA				fullAgreement
כוזסתאן	כוזסתאן	_	כוזסטאן	כזוזתאן	Khuzistan	خوزستان	temp0754			itin			fullAgreement
חדקל	חדקל	_	חדקל	חדקל	Tigris	دجلة	temp0755	#K2273	KIMA				fullAgreement
ים הודו	הודו	הודו	הודו	הודו	Indian Ocean	بحر الهند	temp0756			itin			fullAgreement
קיש	נקרוקיש	קיש	נקרוקים	קיש	Kish	قيس	temp0757	#Q221883	Wikidata				fullAgreement
הודו					India		temp0758						AsherAdlerAgreement
שנער					Shinar		temp0759	#Q1404297	Wikidata	commerce			AsherAdlerAgreement
אלימן					Yemen		temp0760			commerce			AsherAdlerAgreement
פרס					Persia		temp0761	#K7639	KIMA	commerce			AsherAdlerAgreement
הודו					India		temp0762			commerce			AsherAdlerAgreement
קתיפה	קתיפה	קריפה	קטיפה	קתיפה	Katifa	القطيف	temp0763	#K19892	KIMA	itin			fullAgreement
חאולם	האולם	קולאם	ריבלאס	קאולם	Khulam	خولام	temp0764	#Q321475	Wikidata	itin	תחלת מלכות עובדי השמש והם בני כוש	?עיר	fullAgreement
כנדג					Ibrig	كندي	temp0765			itin			fullAgreement
אל צין					Zin 	الصين	temp0766			itin			fullAgreement
	אל צין	ציון	אלצינה	ציון	Zin		temp0767						AdlerOnly
ים הנקפא					Sea of Nikpa 	البحر المتجمد	temp0768						fullAgreement
ים הנקפא					Sea of Nikpa	البحر المتجمد	temp0769						fullAgreement
ים הנקפא					Sea of Nikpa		temp0770						AsherAdlerAgreement
גינגלה	גינגלה	לגינילה	לאלגיבגילה	גנגלה	Al-Gingaleh	بنغالة	temp0771			itin			fullAgreement
כולן				_	Chulan	خولان	temp0772						fullAgreement
זביד	זביד	זביד	זוית	זביד	Zebid	زبيد	temp0773	#K11566	KIMA	itin			fullAgreement
הודו	הודו	הודו	הודו	הודו	India	الهند البرية	temp0774			itin			fullAgreement
בעדן	בעדאן	מעדן	בערזכן	אעראן	Aden	عدن	temp0775	#U22					fullAgreement
עדן אשר בתלסר	עדן אשר בתלסר	עדן אשר בתלסר	עדן אשר בטאלאסר	עדן אשר בתלסר	Eden which is in Thelasar	تلسار	temp0776						fullAgreement
נוביא	לוביא	לוביא	לוביא	לוביא	Lybia		temp0777						AsherAdlerAgreement
נוביא	לוביא	טוביה	לוביאה	לוביא	Lybia	النوبة	temp0778						fullAgreement
עדאן	עדאן	_	עדאן	עדן	Aden		temp0779	#K11337	KIMA				AsherAdlerAgreement
פרס					Persia	العجم	temp0780	#K7639	KIMA				fullAgreement
מצרים					Egypt	مصر	temp0781	#K8046	KIMA				fullAgreement
אסואן	אסואן	_	אוסואן	אסואן	Assuan	أسوان	temp0782	#K12030	KIMA	itin			fullAgreement
שבא	שבא	_	שבא	סבא	Seba		temp0783						fullAgreement
פישון	פישון	_	פישון	פישון	Pishon 	فيشون	temp0784						AsherAdlerAgreement
						النيل	temp0785						
כוש					Cush		temp0786	#K6924	KIMA				AsherAdlerAgreement
אל חבש	אל חבש		אלכחכם	אל חבשה			temp0786b	#K6924	KIMA				
פישון					Nile	النيل	temp0787	#Q3392	Wikidata				fullAgreement
אסואן	אסואן	_	אסובאן	אסואן	Assuan	أسوان	temp0788	#K12030	KIMA				fullAgreement
מצרים					Egypt	مصر	temp0789	#K8046	KIMA				fullAgreement
אסואן	מאסואן	מאסואן	מאסואן	מאסואן	Assuan	أسوان	temp0790	#K12030	KIMA	itin			fullAgreement
חלואן	חלאון	חלואן	חלאין	חלואן	Heluan	حلوان	temp0791	#K15135	KIMA				fullAgreement
אל צחרא	אלצחרא	אלצרורה	אל צחרה	אל צחרא	Sahara	الصحراء	temp0792	#K2019	KIMA				fullAgreement
זוילא	זוילא	_	זויילה	זוילה	Zawilah	الزويلة	temp0793	#Q3663184	Wikidata			מדינת	fullAgreement
חוילה	חוילה	חוילה	חוילה	חבילה	Havilah	حويلة	temp0794					*מדינה	fullAgreement
גאנה	גאנה	גאנה	גנא	גאנה	Gana	غانة	temp0795					ארץ	fullAgreement
ארץ כוש	כוש	כוש	כוש	כוש	Cush	كوش	temp0796	#K6924	KIMA			ארץ	fullAgreement
אלחבש	אלחבש	אלחבש	אל חכם	אל חבש	Habash	الحبش	temp0797						fullAgreement
חלואן	מחלואן	מחליאן	מחלואן	מחלואן	Heluan	حلوان	temp0798	#K15135	KIMA	itin			fullAgreement
קוץ	קץ	קרן	סוף	קוץ	Kutz	قوص	temp0799	#Q1816589	Wikidata		היא ראש תחלת מצרים	מדינה	fullAgreement
					K[=u]s		temp0800						AdlerOnly
מצרים					Egypt		temp0801	#K8046	KIMA				AsherAdlerAgreement
	_	כוש		כוש	Kutz		temp0802						AdlerOnly
			_	_		قوص	temp0803						HaddadOnly
פיום	עהפיום	פיום	פייום	פיום	Fayum	الفيوم	temp0804	#K12725	KIMA	itin			fullAgreement
פיתום	פיתוס	פתאם	פיתום	פיתום	Pithom	فيثوم	temp0805	#K22877	KIMA				fullAgreement
מצרים					Mizraim	مصر	temp0806						fullAgreement
					Mizraim		temp0807						AdlerOnly
נילוס	נילוס	נילוס	נילוס	נילוס	Nile	نيلوس	temp0808	#Q3392	Wikidata				fullAgreement
	_	פישון	_	פישון	Pison		temp0809						AdlerOnly
אל ניל	אלניל	אלגיל	אלניל	אל ניל	Al-Nil	النيل	temp0810	#Q3392	Wikidata				fullAgreement
ארץ					land of Israel	فلسطين	temp0811	#K2501	KIMA			ארץ	fullAgreement
כניסיה אל שאמיין	שאמיין	אלשמיין	אל שמים	אל שאמיין	Kenisat-al-Schamiyyin		temp0812						AsherAdlerAgreement
בבל					Babylon	بابل	temp0813	#U4					fullAgreement
					land of Israel		temp0814	#K2501	KIMA				AdlerOnly
					Babylon		temp0815						AdlerOnly
כניסיה אל עראקיין	אל עיראקיין	אלערקין	עיר חבאינו	אל עראקיין	Kenisat-al-Irakiyyin		temp0816						AsherAdlerAgreement
בבל					Babylon	العراق	temp0817	#U4					fullAgreement
ספרד				_	Spain	الأندلس	temp0818	#K6471	KIMA				fullAgreement
ארץ ישראל					Palestine	فلسطين	temp0819	#K2501	KIMA			ארץ	fullAgreement
					Egypt	مصر	temp0820	#K8046	KIMA				HaddadAdlerAgreement
ארמון צוען מצרים					"palace of Zoan
                        el-Medina"	قلعة	temp0821			citysite		ארמון	fullAgreement
בגדאד	בגדאד	בגדאד	בגדד	בגדאד	Bagdad	بغداد	temp0822	#K662	KIMA				fullAgreement
צוען מצרים	צוען	צוען	צוען מצרים	צוען	Zoan	صوعن	temp0823					מדינה	fullAgreement
