ID	BHB-uri	dcterms:lanugage	dcterms:title	fabio:hasSubtitle	mrel:pup	dijest:kimaID	dijest:locStatus	dijest:printer	dcterms:publisher	dcterms:created	dijest:Haskama	bf:note
	108180	heb	מסעי היר"ח	[רחמים יוסף חיים אופלטקה] באה"ק תובב"א [באייר תרל"ו, 1876] ...	Jerusalem	691	NULL	דפוס אליהו ומשה חי ששון	TBD	1876	TBD	TBD
	109431	heb	אוצר מסעות	קובץ תיורים של נוסעים יהודים בארץ ישראל, סוריא, מצרים וארצות אחרות. רשימות עולי רגל לקברי אבות וקדושים. עם מפות, הערות ומפתח. נסדרו ונערכו על-פי כתבי-יד ונוסחאות בהוצאות שונות, מאת יהודה דוד אייזנשטיין ...	New York	32	NULL	TBD	י. ד. אייזנשטיין	1926	TBD	לפני השער הראשי שער מצוייר: 1839-1165. אוצר מסעות ...
	113413	heb	מסעות של רבי בנימן זל	NULL	Istanbul	533	NULL	TBD	TBD	1543	TBD	המחבר יצא למסעותיו בין תתקי"ט-תתקכ"ז [1159-1167].
	113414	heb	מסעות של רבי בנימן ז"ל	NULL	Ferrara	423	NULL	TBD	TBD	1555	TBD	קולופון: תם ונשלם ... היום יום ה יא תשרי ... שנת שיו נדחים לפ"ק פה פיררא ...
	113415	heb	מסעות של רבי בנימן	NULL	Freiburg im Breisgau	685	NULL	דפוס הזיפרוני	TBD	1583	TBD	TBD
	113416	lat	מסעות של רבי בנימין	Itinerarivm d. Beniaminis, cum versione & notis Constantini L'Emperevr ab Oppyck ...	Leiden	134	NULL	TBD	TBD	1633	TBD	עברית עם תרגום לאטיני, בשתי עמודות.
	113417	heb	מסעות של רבי בנימן ז"ל	Itinerarium d. Benjaminis ....	Leiden	134	NULL	TBD	TBD	1633	TBD	באותה שנה נדפסה הוצאה אחרת עם תרגום לאטיני.
	113418	heb	מסעות של רבי בנימין הרופא ז"ל	שנסע בג' חלקי העולם, עאורופא, אזיאה, אפריקא ... ונדפס שלש פעמי' ומן השלשה הכי נכבד, באשר שהראשוני' הם בקצת מקומו' כספר חתום שקוראי' מקומות ואינם יודעי' מה הם קוראי' ... וכאן אתה מוצא כל דבר וכל מקום על שם מכונו כמורגל בפי ההמוני והביאו לדפוס התורני רבי אליקים בהר'ר יעקב ש"ץ ז"ל חזן באמשטרדם ...	Amsterdam	550	NULL	TBD	TBD	1698	TBD	כרוך עם ספר מקוה ישראל לר' מנשה בן ישראל, אמשטרדם תנ"ח.
	113419	heb	מסעות של רבי בנימין	. נדפסו בעיון יוחנן אנדריאס מיכאל נאגיל לתועלת תלמידיו פה ישיבה מהוללה ...	Altdorf	6499	NULL	דפוס יוחנן אדם היזזיל	TBD	1762	TBD	TBD
	113420	heb	מסעות של רבי בנימין	NULL	Sulzbach	TBD	NULL	דפוס אהרן בן משלם זלמן	TBD	1783	TBD	TBD
	113421	heb	מסעות ר' בנימין	... הובא לדפוס ע"י ... מו' יעקב נר"ו במו' נפתלי הירץ ז"ל מבראד.	Zholkva	1703	NULL	דפוס גרשון ליטעריס	TBD	1806	TBD	TBD
	113422	heb	מסעות רבי בנימין	NULL	Warsaw	953	NULL	דפוס צבי יעקב באמבערג	TBD	1844	TBD	TBD
	113423	heb	מסעות רבי בנימן	NULL	Lvov	166	NULL	Joseph Schnayder	TBD	1847	TBD	TBD
	113424	heb	מסעות רבי בנימן	NULL	Lvov	166	NULL	D. H. Schrenzel	TBD	1859	TBD	TBD
	113425	heb	מסעות של רבי בנימין ז"ל	קודם נדפס בעיר פירארא ...	Baghdad	662	NULL	[דפוס ברוך משה מזרחי]	TBD	1866	TBD	TBD
	113426	eng	מסעות של רבי בנימן ז"ל	(Vol. I-II).	New York	32	()	TBD	("הקשת")	1927	TBD	בשער העברי התאריך של הוצאת לונדון ת"ר.
	113427	heb	מסעות של רבי בנימין מטודילה	(על פי כתבי יד עם הערות ומפתח ... [מאת] מרדכי ... אדלר) ...	Jerusalem	691	NULL	TBD	(בית ההוצאה של הסתדרות הסטודנטים שך האוניברסיטה העברית)	1960	TBD	בראש השער: האוניברסיטה העברית. החוג להיסטוריה של עם ישראל.
	113428	heb	סוריה וארץ ישראל	מתוך ספר המסעות של רבי בנימין מטודילה. ערוך ע"י ד"ר א[ברהם] י[עקב] ברור. יצא על פי הצעת מחלקת החנוך של ההנהלה הציונית בארץ-ישראל ...	Tel Aviv	272	NULL	(דפוס וידיסלבסקי ומינץ)	אמנות	1930	TBD	TBD
	113446	heb	מסעי ישראל	בו יסופר מאחינו בני ישראל הנפוצים בארצות אסיה ואפריקא, מצבם המדיני והמוסרי, מדותיהם דעותיהם ומנהגיהם ... ככל אשר ראה ... במסעותיו זה שנים רבות בארצות הקדם ... ישראל בן יוסף בנימין, מעיר פאלטישעני בארץ מאלדויא. וכתב על ספר בלשונות צרפת ואשכנז, ועתה נעתק לשפת עברית מאת דוד גארדאן. גם נלוה בסופו לוח מכל גלילות הארץ אשר עבר בהן הנוסע ...	Lyck	TBD	NULL	TBD	TBD	1859	ועם "כתבי-תעודות מחכמי העמים", שהועתקו מן ההוצאה הגרמנית: אלכסנדר פאן הומבאלד, בערלין, 25 מערץ 1858; קארל ריטטער, בערלין. 30 מערץ 1858; [יוליוס] ה[יינריך] פעטערמאן, בערלין, 29 מערץ 1858; "קול קורא" מאת ד"ר יוליוס פירסט, לייפציג, 2 יוני 1858, והסכמת ר' אליעזר ליפמאן בן יהודה ליב זילבערמאן, ליק, ראש חודש סיון תרי"ט.	Acht Jahre in Asien und Afrika, Von 1846 bis 1855, Hannover 1858.
	115350	heb	מסעות ארץ-ישראל לרבי משה באסולה	<הנודע בשם "הנוסע האלמוני מליוורנו משנת רפ"ב">, יוצא לאור על- פי כתב יד מקורי, על-ידי יצחק בן-צבי ...	Jerusalem	691	NULL	TBD	(החברה העברית לחקירת ארץ-ישראל ועתיקותיה	1938	TBD	שער-נוסף:
	115351	heb	מסעות ארץ-ישראל לרבי משה באסולה	 יוצא לאור על-ידי יצחק בן-צבי.	Jerusalem	691	NULL	TBD	(החברה העברית לחקירת ארץ-ישראל ועתיקותיה	1939	TBD	שער-נוסף באנגלית כבהוצאה הקודמת.
	115928	heb	ספר המסע לארץ הקדושה	NULL	Warsaw	953	[]	TBD	(Jacob Sapirshtein)	1884	TBD	שמו של המדפיס באותיות קיריליות.
	122211	heb	המסע לארץ הקדושה	אשר נסעתי ... בשנת ... <תרמ"ב> ... אנכי יעקב בכרך ...	Warsaw	953	NULL	TBD	TBD	1883	TBD	Added t.p.: Reise nach dem heiligen Lande, unternommen im Jahre 5642. Oekonomisch und charakteristisch beleuchtet nebst kritischen Gesichtspunkten etc., von Jacob Bachrach...
	122795	heb	מסעות של רבי בנימן ז"ל	(Vol. I-II).	London	688	NULL	TBD	(A. Asher & Co., Berlin)	1841-1840	TBD	The itinerary of Rabbi Benjamin of Tudela. Translated and edited by A. Asher ...
	125899	heb	מסע בארץ הקדם	ומורה דרך לכל הנוסעים לארץ הקדושה ומצרים, מאת הנוסע אפרים דיינארד. ונלוה אליו תבנית הפיראמידען והספינקס ...	Bratislava	574	NULL	TBD	TBD	1883	TBD	המחבר ביקר בארץ בשנת תר"ם [1880].
	128407	heb	מסע הרצל בארץ ישראל	פרקי יומן מתורגמים בידי א[הרן] ורדי, עם מבוא מאת המתרגם ...	Tel Aviv	272	NULL	TBD	TBD	1927	TBD	עמ' 2-1: פרשת הנסיעה, מאת המתרגם.
	129826	heb	מסעות רבי בנימן	NULL	Lvov	166	NULL	S. L. Kugel, Lewin & Comp.	A. Druker	1869	TBD	TBD
	129827	heb	מסעות רבי בנימן	NULL	Lvov	166	NULL	B.L. Necheles	B.L. Necheles	1874	TBD	TBD
	129828	heb	מסעות רבי בנימן	... הובא לביה"ד מחדש בהוצאות בית מסחר הספרים של מו"ה משה הערשקאוויטש ...	Mukacevo	1638	NULL	דפוס בלייער עט קאהן	TBD	1895	TBD	TBD
	129829	ger	מסעות ר' בנימין מטודילו	...נערך ... עפ"י שלשה כ"י עתיקי יומין ונוסחאות שאר ספרים ... עם הארות והערות ומבוא בראש הספר, ונלוו אליו ב' הוספות בסוף הספר. ויצא לאור עולם ע"י אלעזר הלוי דר' גרינהוט בירושלם ... בסיעת ... מו"ה מרדכי הכהן אדלער נ"י בלונדון ...	Frankfurt am Main	422	NULL	TBD	J. Kaufmann	1903-1904	TBD	שני ה"הוספות" (נספחים): "אלה המסעות" ו"סימני כתבי הקברות" מאת ר' יעקב שליח ישיבת ר' יחיאל מפאריס. שני ספרי מסעות למקומות הקדושים בארץ ישראל. נדפסו קודם לכן על ידי אליקים כרמולי, [בריסל] תר"א.
	129830	eng	מסעות של ר' בנימן ז"ל	על פי כתבי יד עם הערות ומפתח ממני הצעיר מרדכי בן ... נתן אדלר הכהן זצ"ל ...	London	688	NULL	TBD	(Henry Frowde, Oxford University Press)	1907	TBD	XVI ,94 העמ': חלק אנגלי.
	129831	heb	מסעות ר' בנימין בא"י	עפ"י כתב-יד במוזיאום הבריטי, שהוציא לאור ר' מרדכי אדלר ז"ל בשם "ספר מסעות של ר' בנימין ז"ל", לונדון תרס"ז ...	Jerusalem	691	NULL	(דפוס עזריאל)	אוניברסיטה עברית	1925	TBD	TBD
	129832	heb	מסעות ר' בנימין בא"י	עפ"י כתב-יד במוזיאום הבריטי שהוציא לאור ר' מרדכי אדלר ז"ל, בשם "ספר מסעות של ר' בנימין ז"ל" לונדון תרס"ז ...	Jerusalem	691	NULL	TBD	אוניברסיטה עברית	1925	TBD	מסעותיו בארץ-ישראל בלבד.
	136396	heb	מסעות ארץ ישראל	של עולים יהודים מימי הבינים ועד ראשית ימי שיבת ציון, קיבצם וביארם אברהם יערי	Tel Aviv	272	NULL	(דפוס "אחדות")	המחלקה לעניני הנוער של ההסתדרות הציונית בהוצאת "גזית"	1946	TBD	TBD
	141705	heb	אלה המסעות	אשר הם נוסעים כל הרוצה ללכת להשתטח על קברי האבות הצדיקים אשר בארץ ישראל ובחוצה לארץ. הובא לבית הדפוס פעם ראשונה, בתוספת סימני כתבי הקברות (שבא"י, אשר הביאם רבי יעקב, שליח נאמן מהרב רבינו יחיאל מפריש) ופתיחה ומפתח על ידי... אליקים כרמולי...	Brussels	575	[]	TBD	TBD	1841	TBD	עיין: א' יערי, מסעות ארץ ישראל, תל-אביב תש"ו, עמ' 764-765. על "סימני כתבי הקברות", עיין: ש"ח קוק, עיונים ומחקרים, ב, ירושלים תשכ"ג, עמ' 308-314; א"א אורבך, בעלי התוספות, ירושלים תשנ"ו, א, עמ' 456-457.
	326470	ghb	מסעות שמעון	רייזע בעשרייבונג אים הייליגען לאנד ... בעמערקונגן איבער דען דארטיגען האנדעל אונד אינדוסטריא ... אין אה"ק [ארץ הקודש] איינע עקסיסטענץ <פרנסה> צו גרינדען ... צו ענדע דעם ספר אים מפתח הלקט, זינד ערהאבענע מאמרים פאן הייליגע ספרים, פאן דען שנת גאולה, מדרגות הישועה, תשובה וצדקה. פערפאסט פאן שמעון בערמאן אויס קראקא ...	Krakow	489	NULL	TBD	TBD	1879	ר' אברהם אשכנזי, ירושלים. חותמים עמו רבני טבריה: אברהם יוסף הלוי, רפאל מאמן, חיים הכהן.	מהדורה מדעית בעברית, בעריכת גצל קרסל: ירושלים תש"ם.
	143328	heb	מסע לארץ ישראל בשנת ת"ת	מאת א. ל. לעווינסקי.	Odessa	740	NULL	TBD	TBD	1892	TBD	Putishestvie v Palestinu v 2030 [!] godu. Sochinenie A. L. Levinskago ...
	160240	heb	סבוב הרב רבי פתחיה	מרעגנשפורג (אחיו של רבינו יצחק הלבן בעל התוספות והרב רבינו נחמן מריגנשפורג) וחדושים ונסים ונפלאות שראה (ושמע) בארצות רבות הקרובים והרחוקים (וסבב כל הארצות עד נהר סמבטיון) והיה זה הרב ר' פתחיה בימי רבינו יהודה [ב"ר שמואל] חסיד (כדמבואר בספרו... הוצאתי מתעלומה לאורה כאשר מצאתי בספר ישן נושן נאם נפתלי בן לא"א משה מק"ק גוייטיין)...	Prague	638	NULL	TBD	TBD	1595	TBD	דף [7, ב- 10]: מדרש יונה. עי': י"ד אייזענשטיין, אוצר מדרשים, חלק א, נויארק תרע"ה, עמ' 217 - 222.
	160241	heb	סבוב הרב ר' פתחיה	NULL	Zholkva	1703	NULL	TBD	TBD	1772	TBD	התיבה "באמשטרדם" שבשער באותיות בולטות.
	160242	heb	סבוב רבי פתחיה.	...	Ostroh	633	NULL	TBD	TBD	1806	TBD	בטפסים שראינו חסר בסוף (דף או שניים).
	160244	heb	סבוב רבי פתחיה.	... ונתוסף בו... ספר אלדד הדני וספר מדרש יונה (העתקה מכתב[י] מו"ה שמשון ז"ל מאסטרעפאלי)...	Shklov	262	NULL	TBD	TBD	1817	TBD	על-פי דובנא רבתי תקנ"[ה].
	160246	ger	סבוב הרב רבי פתחיה מרעגנשפורג	מתורגם אשכנזית, ונלוו אליו הערות (ומבוא) בלשון אשכנז... גם נעשו בנוסח... הגהות מועילות... מאת דוד אטטענזאסער...	Fuerth	167	NULL	TBD	TBD	1844	TBD	עברית וגרמנית.
	160247	heb	סבוב הרב ר' פתחיה	NULL	Warsaw	953	NULL	TBD	TBD	1855	TBD	דף [8, ב- 12]: פירוש על יונה [צ"ל: מדרש יונה].
	160248	heb	סבוב רבי פתחיה.	... ונוסף עליו ספר אלדד הדני וס' מדרש יונה'... גם סודות (העתקה מכתבי)... מו"ה שמשון מאסטרעפאלי...	Lvov	166	NULL	TBD	TBD	1859	TBD	על פי שקלאוו תקע"ז.
	160249	heb	סבוב הרב ר' פתחיה	...	Warsaw	953	NULL	TBD	פייבל מונק	1873	TBD	עמ' 17-24: מדרש יונה.
	160251	ger	סבוב הרב רבי פתחיה מרעגנשפורג	... נערך ונסדר עפ"י כ"י עתיק... ודפוסים הראשונים ונוסחאות... ספרים שונים [עם הקדמה בעברית]. עם [תרגום] הארות והערות ומבוא [בגרמנית]... ונלוה אליו הוספה (ספור מסעות... ר' יעקב ב"ר נתנאל כהן ז"ל כשנכנס לארץ ישראל)... יצא לאור... ע"י אלעזר הלוי ד"ר גרינהוט ... חלק א-[ב].	Jerusalem	691	NULL	TBD	J. Kauffmann Frankfurt a. M.	1905	TBD	Die Rundreise der R. Petachjah ... ediert und uebersetzt ... L. Gruenhut ...
	160252	heb	סבוב הרב ר' פתחיה	... וגם נלוה אליו ס' מדרש יונה... יצא לאור ע"י בן ציון קלעטער ...	Jerusalem	691	NULL	דפוס לעווי	TBD	1912	הסכמה: ר' מאיר איזריעל מבילקא, ירושלם, ג חיי תרע"ב.	TBD
	160253	lat	סבוב הרב ר' פתחיה מרעגנש פורג	NULL	Altdorf bei Nuernberg	6499	NULL	TBD	TBD	1697	TBD	המקור העברי נדפס לראשונה בפראג שנ"ה.
	160254	lat	סבוב הרב ר' פתחיה	NULL	Padua	83	NULL	TBD	TBD	1750	TBD	עברית ולאטינית.
	164779	heb	מסע מצרים	והוא ספורי קורות נאפאלעאן הראשון במסעו למצרים... מלחמותיו, שיחותיו, ומכתביו. ונלוה אל זה עוד מחזה הלבנון וגלילותיה (העתקה מש"פ [משפת פולין]), ומחזה ארץ פינלאנד. עם הערות... אודות ערי ארץ ישראל המדוברות במסע הזה כפי שמותם בדברי חז"ל בש"ס, וגם ציוני הערים והמחוזים והנהרות הנזכרות בזה למקומותם בשמותם ע"פ הגעאגראפיע, אשר הוסיף המעתיק ללה"ק [ללשון הקודש]. נעתק ללה"ק... ע"י דובער קעסטין.	Warsaw	953	NULL	TBD	TBD	1861	ר' יעקב זאלקינדש, ווארשא, ז כסליו תרכ"ב.	עמ' 110-113: מחזה ארץ פינלאנד.
	160250	heb	סבוב רבי פתחיה.	... עם הוספת א. אלדד הדני ... ב. מדרש יונה ...	Krakow	489	NULL	TBD	אלעזר שענקעל מטארנאוו.	1896	TBD	עמ' 45-48: מעין הכחמה [צ"ל: החכמה]. מדרש. פותח: בשעה שעלה משה למרום.
	169857	heb	מסעות הים	סדר נסיעות[!] ... מה' נחמן [מבראצלאב] זצ"ל לא"י ... וגם הנהגות שנהג ...	Jozefow	845	NULL	TBD	TBD	1846	TBD	כולל: קטעם נבחרים, בשינויים קלים, מתוך ספר סיפורי מעשיות [אוסטרהא] תקע"ה, דף קיג-קיד ודף א-יב,א (מהספירה השנייה). עיין נחמן בן שמחה מבראצלאב (סיפורי מעשיות).
	179988	heb	סבוב הרב ר' פתחיה	NULL	Altona	10369	NULL	TBD	TBD	1770	TBD	שנת ההדפסה על פי היוצא מדברי ח"ד פרידברג, תולדות הדפוס בערים האלה שבאירופה התיכונה... אלטונא, אנטוורפן תרצ"ה, עמ' 107, ולאור הזכרת מדפיס זה בשער והברכה למלך כריסטיאנוס השביעי ונוסחתה. בכל הספרים שראינו שהדפיס מדפיס זה בשנות התקל"-נשמטו שם המדפיס והברכה למלך.
	179989	heb	סבוב הרב ר' פתחיה	NULL	Jerusalem	691	NULL	דפוס החדש של השותפים שמעלקע יוסף שמער וגיסו יצחק גאשצינני	TBD	1872	TBD	TBD
	179990	heb	סבוב הרב ר' פתחיה	...	Warsaw	953	[]	TBD	TBD	1880	TBD	מקום ההוצאה המקורי באותיות קיריליות.
	179991	heb	סבוב רבי פתחיה.	... ונתוסף בו... ספר אלדד הדני וספר מדרש יונה מוגהה מספר פרקי דר"א [דרבי אליעזר, פרק עשירי].	Dubno	895	NULL	TBD	TBD	TBD	TBD	בשער: "וספר מדרש יונה מוגהה מספר פרקי דר"א". באמת נוסח מדרש יונה הנדפס כאן הוא שונה מאד מהנוסח המופיע שם, והוא נוסח ב של מדרש זה המובא בספר אוצר מדרשים ליהודה דוד אייזענשטיין, חלק א, נויארק תרע"ה, עמ' 219-221, והוא הנוסח הנדפס בכל ההוצאות של ספר זה שבהן נדפס מדרש יונה.
	179992	heb	סבוב רבי פתחיה.	NULL	Dubno	895	NULL	TBD	TBD	1795	TBD	על-פי דובנא תקנ"-
	300917	rus	שלשה בעלי המסעות לבית ישראל.	להמאות XI-XII: אלדד הדני, ר' בנימין מטודילא ור' פתחי' מרעגענסבורג. עם העתקה והערות בשפת רוסיא [ומפות], מאת פ[אבל] מרגלין.	St. Petersburg	678	NULL	TBD	TBD	1881	TBD	כולל ספור אלדד הדני, מסעות רבי בנימין מטודילה וסבוב ר' פתחיה.
	303389	heb	אלה המסעות	NULL	Jerusalem	691	NULL	TBD	TBD	1885	TBD	מהדורה זו נדפסה גם בתוך אגודת אגדות, ירושלם תרמ"ה. עיין למעלה.
	314554	heb	מסע אבן שמואל	חלק ראשון, שני מכתבים מועתקים מכתבי האברך ר' אריה ליב בהרב... שמואל זללה"ה פרומקין, אשר כתבם לשלוח אל מיודעיו אשר באדעסא, המכילים בתוכם... מכל אשר ראו עיניו בירושלם ובחברון, ומפיצים אור... על איכות האדמה בפרט ועל אנשיה בכלל...	Jerusalem	691	NULL	TBD	TBD	1871	TBD	בצילום.
	314626	heb	סבוב הרב ר' פתחיה מרעגנש פורג	... וסבב ר' פתחיה כל הארצות עד נהר סמבטיון... וכל החדושים והנפלאות... שראה ושמע... כתב לזכרון...	Altdorf bei Nuernberg	6499	NULL	TBD	TBD	1697	TBD	על פי Altdorfi 1687.
	318128	heb	מסע מירון וערי הגליל	מערי הגליל גליל עליון וגליל תחתון ... יב סיון ב'ו'נ'ה' י'ר'ו'ש'ל'ם' [תרמ"ט] עה"ק תובב"א [מאת ר' מנחם מנדל רובין] ...	Jerusalem	691	[]	TBD	TBD	1889	TBD	תיאור מסעו של המחבר אל הגליל.
	324918	heb	סבוב רבי פתחיה מרעגנשבורג.	חדושים ... אשר ראה בארצות רבות ... הרב רבי פתחיה ...	Lvov	166	[]	TBD	TBD	1869	TBD	בסוף: כתבי מהר"ש [שמשון מאוסטרופולי].
	334287	heb	מסע סביב העולם	בני ציון היקרים הנדחים בקצה תימן, השוכנים באהלי קדר, בערבות ערב, הודו סינים וכוש... בבל... פרס ואפגאניסטאן... קויקאזוס, דאגיסטאן, קורדיסטאן, טורקיסטאן וגורגיסטאן... קאטשין... ומאלאבאר, במדברי אפריקה הצפונית... שלום מאת אחד מאחיכם הבא אליכם מקצה הארץ... הנוסע אפרים דיינארד...	New York	32	[]	TBD	TBD	1900	TBD	בסוף: "אבקש מאת כבוד הרבנים וראשי העדה להדביק את תכן הענינים הזה על קירות בתי כנסת".