toponym-index	Toponym mention @Asher	incident - xpath_location	GeoNarrative	seq_number	PlaceID	Toponym mention @Asher(2)	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	interMSSindex
1	שרקושטה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[1]	1	1	K6347	שרקושטה	שרקושטה	סרקוסטא	שרקוסטה	סרקסטא	198
2	איברו	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[2]	1	2	GN3123754	איברו	איברו	איברי	איברו	אברו	202
3	טורטושה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[3]	1	3	K9805	טורטושה	טורטושה	ל??זורה	טורטוסה	טרטושא	203
4	טרכונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[1]	1	4	K7559	טרכונה	טרבונה	נירגונה	טרבונה	תרכונה	210
5	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[2]	1		K6471	ספרד	ספרד	ספרד	ספרד	ספרד	224
6	ברצלונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[1]	1	5	K582	ברצלונה	ברצלונה	ברצלונה	ברזילונה	ברצלונה	233
7	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[2]	1		K8822	יון	יון	יון	יון	יוון	272
8	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[3]	1		K251	פישה	פישה	פיסא	פישה		273
9	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[4]	1		K877	גינואה	גינואה	יינובא	גיינובה		274
10	סיסילייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[5]	1		K6284	ציקיליה	סיסילייא	סיציליאה	סיסיליא	צקיליה	275
11	אלכסנדריה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[6]	1		K667	אלכסנדריה	אלסכנדריא	אלכסנדר	אליכסאכרה	אסכנדריאה	277
12	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[7]	1		K8046	מצרים	מצרי'	מצרים	מצרים	מצרים	279
13	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[8]	1		K2501	ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל	280-281
14	גירונדה	/TEI[1]/text[1]/body[1]/ab[1]/seg[4]/placeName[1]	1	6	K8720	גירונדה	גירונדה	גירונה	גירונה	גרונדה	290
15	נרבונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[5]/placeName[1]	1	7	K10031	נרבונה	נרבונה	נרבונה	נירבונה		299
16	בידרש	/TEI[1]/text[1]/body[1]/ab[1]/seg[6]/placeName[1]	1	8	K7195	בידרש	בידרש	בדרש	בידרש	בדרש	364
17	הר געש	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[1]	1	9	K7467	מונפישלייר	הר געש	הר געש	הר געש	געש	384-385
18	מונפישלייר	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[2]	1	9	K7467	מונפישלייר	מונפישלייר	מונפישליר	מונפישלייר	מונט פשליר	387-388
19	אל-ערוה	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[3]	1		K7951	אל-ערוה	אל עדוה		אלעדוה	אל עדוה	405-406
20	לונברדייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[4]	1		K10968	לונברדייא	לונברדייא	לומרדיאה	למוברדיאה	לונברדיאה	407
21	רומא רבתא	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[5]	1		K7637	רומא רבתא	רומא רבתא	רומה רבתא	רומה רבתא	רומה רבתא	409-410
22	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[6]	1		K8046	מצרים	מצרים		מצרים	מצרים	412-413
23	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[7]	1		K2501	ארץ ישראל	ארץ ישראל		ארץ ישראל	ארץ ישראל	414-415
24	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[8]	1		K8822	יון	יון		יון	יוון	418
25	צרפת	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[9]	1		K6399	צרפת	צרפת		צרפת	צרפת	420
26	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[10]	1		K6471	ספרד	ספרד		ספרד		422
27	אינגלטירה	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[11]	1		K12708	אינגלטירה	אינגלטירה		אינגילטירה	אינגלטירא	423
28	לוניל	/TEI[1]/text[1]/body[1]/ab[1]/seg[8]/placeName[1]	1	10	K12204	לוניל	לוניל	לוניל	לוניל	לוניל	477
29	פותייקיירש	/TEI[1]/text[1]/body[1]/ab[1]/seg[9]/placeName[1]	1	11	K7808	פותייקיירש	פותייקיירש		פורייקיירש	פושקרש	597
30	נוגריש	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[1]	1	12	K10262	בורק דשל גיל	נוגרש	מגרש	נוגרש	מגרש	679
31	בורק דשל גיל	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[2]	1	12	K10262	בורק דשל גיל	בורק דשל גיל	בורגו דשינגילי	בורקרשאלגיל	בורגו דשגיל	681
32	רודי	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[3]	1		K2047	רודי	רודי	רואתנו	רודי	רודנו	738
33	פרובנצה	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[4]	1		K8962	פרובנצה	פרובנצה	פירובינצא	פרובינצא	פרובינסה.	743
34	ארליט	/TEI[1]/text[1]/body[1]/ab[1]/seg[11]/placeName[1]	1	13	K7224	ארליט	ארליט		אליש	ארליד	761
35	מרשילייה	/TEI[1]/text[1]/body[1]/ab[1]/seg[12]/placeName[1]	1	14	K7085	מרשילייה	מרשילייה	מרשילה	מרסיליא	מרשיליה	785
36	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[1]	2	1	K877	גינואה	גינואה	ייניבה	גיינובא	יינובה	964
37	סבתה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[2]	2		K8782	סבתה	סבתה	סיבתיא	סבתה	סבתה	899
38	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[3]	2	1	K877	גינואה	גינואה	יינובה	גיינובא	יינובה	964
39	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[4]	2	2	K251	פישה	פישא	פיסא	פיסה	פיסא	969
40	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[14]/placeName[1]	2	2	K251	פישה	פישא	פיסא	פיסה	פיסא	975
41	לוקא	/TEI[1]/text[1]/body[1]/ab[1]/seg[15]/placeName[1]	2	3	K6491	לוקא	לוקא	לוקה	לוקה	לוכה	1045
42	רומא רבתא	/TEI[1]/text[1]/body[1]/ab[1]/seg[16]/placeName[1]	2	4	K440	רומא	רומא רבתא	רומה רבתא	רומי רבתא	רומה רבתא	1073-1074
43	קושטנטינופולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[16]/placeName[12]	3		K6927		קושטנטינופלי	קוסטנטינופולי	קוסטאנטינופילו		1479
44	קפואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[17]/placeName[1]	4	1	K6800	קפואה	קפואה	קפיאה	קאפואה	קפיאה	1498
45	פוצול	/TEI[1]/text[1]/body[1]/ab[1]/seg[18]/placeName[1]	4	2	K9790	פוצול	פוצול	פצילי	פיצולו	פוצוילי	1544
46	סוריינטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[18]/placeName[2]	4	2	K9809	סוריינטו	סוריינטו	סוריינטו	סיריינטו	סוריינטו	1546
47	לונברדיאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[18]/placeName[3]	4		K10968	לונברדייא	לונברדיאה	לומרדיאה	לומברדיאה	לונברדיאה	1633
48	רומא	/TEI[1]/text[1]/body[1]/ab[1]/seg[19]/placeName[1]	4		K440	רומא	רומ׳	דומה	רומי	רומה	1655
49	נאפולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[19]/placeName[2]	4	3	K673	נאפולי	נאפול		נאפולי	נאפולי	1675
50	שלירנה	/TEI[1]/text[1]/body[1]/ab[1]/seg[20]/placeName[1]	4	4	K6373	שלירנה	שלירפה	סלירנה	סלירפה	סלירנה	1714
51	ציפונת	/TEI[1]/text[1]/body[1]/ab[1]/seg[20]/placeName[2]	4		K7024	ציפונת	ציפונת		צפונת	ציפינת	1741
52	אמלפי	/TEI[1]/text[1]/body[1]/ab[1]/seg[21]/placeName[1]	4	5	K6262	אמלפי	אמלפי	מלכי	מלאלפי	מלכי	1773
53	בינאבינטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[22]/placeName[1]	4	6	K6449	בינאבינטו	בנאבינטו	בינבנטו	ביניווינטו	בנבנתו	1830
54	מלפי	/TEI[1]/text[1]/body[1]/ab[1]/seg[23]/placeName[1]	4	7	K12281	מלפי	מלכי	מלפה	מלפי	מלפי	1858
55	פולייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[23]/placeName[2]	4		K7555	ארץ פול	פוליא	פוליא	פוליא	פוליאה	1860
56	ארץ פול	/TEI[1]/text[1]/body[1]/ab[1]/seg[23]/placeName[3]	4		K7555	ארץ פול	ארץ פול	ארץ פול	ארץ פול	ארץ פול	1863
57	אשקולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[24]/placeName[1]	4	8	GN3182747	אשקולי	אסקולי		אסקולי	אשכולי	1880
58	טרנאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[25]/placeName[1]	4	9	K7879	טרנאה	טרנאה	טרני	טראני	טראני	1897
59	ירושלים	/TEI[1]/text[1]/body[1]/ab[1]/seg[25]/placeName[2]	4		K691	ירושלים	ירושלם	ירושלם	ירושלם	ירושלם	1907
60	מיקילס דבר	/TEI[1]/text[1]/body[1]/ab[1]/seg[26]/placeName[1]	4	10	K7504	מיקילס דבר	מיקילס	נקולוש	מיקולסדבר	קול	1934
61	ציקיליה	/TEI/text[1]/body[1]/ab[1]/seg[26]/persName[1]/placeName[1]	4		K6284	ציקיליה	ציקיליה	סיציליאה	ציקיליא'	צקיליה	1944
62	טראנטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[27]/placeName[1]	4	11	K8176	טראנטו	טרנטו	טרנטו	טראטו	טירטנו	1961
63	קלאבריאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[27]/placeName[2]	4		K7660	קלאבריאה	קלאבריאה	קלבריאה	קלאבריא'	קלבריה	1967
64	ברנדישי	/TEI[1]/text[1]/body[1]/ab[1]/seg[28]/placeName[1]	4	12	K11068	ברנדישי	ברנדיס	ברינבס	נרניס	ברנדיש	1992
65	אוטרנדו	/TEI[1]/text[1]/body[1]/ab[1]/seg[29]/placeName[1]	5	1	K7029	אוטרנדו	אורנדו	אוסרינטו	אורנארו	אורדינדו	2005
66	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[29]/placeName[2]	5		K8822	יון	יון	יון	יון	יון	2011
67	קרופוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[30]/placeName[1]	5	2	K1039	קרופוס	אוקרופוס	קופרו	אוקרופוס	אקורפוס	2037
68	לבטה	/TEI[1]/text[1]/body[1]/ab[1]/seg[31]/placeName[1]	5	3	K20954	לבטה	לבטה	לארטה	לבאנטה	לרנוה	2055
69	נטוליקון	/TEI[1]/text[1]/body[1]/ab[1]/seg[32]/placeName[1]	5	5	GN265507	נטוליקון	נטוליקון	נטוליקון	נאטוליקץ	נטוליקון	2076
70	אכילון	/TEI[1]/text[1]/body[1]/ab[1]/seg[33]/placeName[1]	5	4	U1	אכילון	אכילון	אפילון	אקילץ	אפילון	2088
71	פטרה	/TEI[1]/text[1]/body[1]/ab[1]/seg[34]/placeName[1]	5	6	K12768	פטרה	פטרה	_	פאטרה	_	2094
72	לפנטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[35]/placeName[1]	5	7	K21742	לפנטו	לפנטו	לכיפטו	לופאנטי	_	2137
73	קורש	/TEI[1]/text[1]/body[1]/ab[1]/seg[36]/placeName[1]	5	8	GN259862	קורש	קורש	קרייש	קורש	_	2157
74	פרנש	/TEI[1]/text[1]/body[1]/ab[1]/seg[36]/placeName[2]	5		GN255730	פרנש	פורש	קרש	פורש		2165
75	קורינטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[37]/placeName[1]	5	9	GN259289	קורינטו	קורינטו	קורנטו	קורונאטי	_	2183
76	טיבש	/TEI[1]/text[1]/body[1]/ab[1]/seg[38]/placeName[1]	5	10	K14830	טיבש	טיבש	תיביס	טיוכס		2200-2201
77	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[38]/placeName[2]	5		K8822	יון	יון	יון			2248
78	קושטנטינופולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[38]/placeName[3]	5		K6927	קושטנטינופולי	קושטטינופולי.	קוסטנטינה.	_	_	2251-2252
79	ארגירפו	/TEI[1]/text[1]/body[1]/ab[1]/seg[39]/placeName[1]	5	11	K14277	ארגירפו	ארגירפו	איגריט	ארגריפו	_	2257
80	יובשטריסה	/TEI[1]/text[1]/body[1]/ab[1]/seg[40]/placeName[1]	5	12	GN258577	יובשטריסה	יבושטריסה	יבושטריסה	יבוסטריסו	_	2286
81	רובינקה	/TEI[1]/text[1]/body[1]/ab[1]/seg[41]/placeName[1]	5	13	GN261211	רובינקה	רובינקה	_	רווינגו	_	2304-2307
82	שינון פוטמו	/TEI[1]/text[1]/body[1]/ab[1]/seg[42]/placeName[1]	5	14	GN258620	שינון פוטמו	שינון פוטמו	שיגופוטמו	שינץ פיטימון		2323-2324
83	בלכיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[42]/placeName[2]	5		K9259	בלכיא	בלכיא	הלבלירא	בילקאייה	_	2336
84	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[42]/placeName[3]	5		K8822	יון	יון	יון	יון		2353
85	גרדיגי	/TEI[1]/text[1]/body[1]/ab[1]/seg[43]/placeName[1]	5	15	GN255638	גרדיגי	גרדיגי	גודיטו	גרריקו	_	2400
86	ארמילו	/TEI[1]/text[1]/body[1]/ab[1]/seg[44]/placeName[1]	5	16	BJ5	ארמילו	ארמולו	ארמילו	ארמילו	_	2412
87	בישינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[45]/placeName[1]	5	17	BJ9	בישינה	בישינה	בישינה	מישינה	_	2452
88	סלוסקי	/TEI[1]/text[1]/body[1]/ab[1]/seg[46]/placeName[1]	5	18	K103	סלוסקי	סלוסקו	_	סיאלוסקי	_	2471
89	מיטריסי	/TEI[1]/text[1]/body[1]/ab[1]/seg[47]/placeName[1]	5	19	GN736795	מיטריסי	מיטריסי	טוריס	מטריסי	_	2526
90	דרמה	/TEI[1]/text[1]/body[1]/ab[1]/seg[48]/placeName[1]	5	20	K14269	דרמה	דרמה	רדמה	רראמה	_	2541
91	קנישתולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[49]/placeName[1]	5	21	GN735861	קנישתולי	קנישתולי	קרישתופילי	קניסטולי	_	2555
92	אבירו	/TEI[1]/text[1]/body[1]/ab[1]/seg[50]/placeName[1]	5	22	K4579	אבירו	יבירו	אברו	אבירו	_	2566
93	קושטנדינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[50]/placeName[2]	5	23	K6927	קושטנטינופולי	קושטנדינה	קושטינה	קוסטאנטינו	_	2579
94	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[1]	5		K8822	יון	יון	יון	יון		2586
95	קושטנטינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[2]	5	23	K6927	קושטנטינופולי	קושטנטינה	קושטנטינה	קוסטאנטינה		2605
96	קושטאנטינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[3]	5	23	K6927	קושטנטינופולי	קושטאנטינה	קוסטנטינה	קוסטאנטינה	_	2635
97	בבל	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[5]	5		U4	בבל	בבל	בבל	בבל	_	2667
98	שנער	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[6]	5		Q1404297	שנער	שנער	שנער	שנער	_	2670
99	מדי	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[7]	5		K22613	מדי	מדי	מדי	מדי	_	2673
100	פרס	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[8]	5		K7639	פרס	פרס		פרס	_	2674
101	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[9]	5		K8046	מצרים	מצרים	מצרים	מצרים		2679
102	רושיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[10]	5		U6		רושיא	רוסיאה	רושיא		2683
103	אונגריאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[11]	5		Q171150	אונגריאה	אונגריאה	אונגריאה	אונגריא'	_	2684
104	פסיינקי	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[12]	5		U2	פסיינקי	פסיינקי	פיסינקי	פסינגי	_	2685
105	בודיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[13]	5		U3	בודיא	בוריא	כזריאה	בוריא'	_	2686
106	לונברדייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[14]	5		K10968	לונברדייא	לונברדייא	לומברדיאה	לומברדיא'	_	2688
107	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[15]	5		K6471	ספרד	ספרד	ספרד	ספרד	_	2689
108	בגדיד	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[16]	5		K662	בגדיד	בגדיד	בגדד	בגדד	_	2707
109	בילכירנש	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[17]	5		Q1472490	בילכירנש	בילבירנש	בלבידיניש	בילוויראנוס	בלבירוש	2857
110	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[18]	5		K8822	יון	יון		יון	יוון	2932
111	ים שופיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[19]	5		U7		ים שופיא	הים רוסיא	ים סופיא'	יד רומי	3077-3078
112	פירא	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[20]	5		K7544	פירא	דיס פירא.	פיירה.	פירא.	פיירה.	3231
113	רודוסטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[1]	6	1	K22213	רודוסטו	רודורטו	_	ודורוסאטו(ל)	מדוטוס	3240
114	גאליפולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[2]	6	2	GN746983	גאליפולי	גאליפולי	דפולי	גליפולי	קליפולי	3257
115	קלש	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[3]	6	3	PL844961	קלש	קלש	קיליש	קאליסי	קילש	3280
116	מיטילין	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[4]	6	4	GN256866	מיטילין	מיטילי	מיטילי	מיטולי	מיטלי	3296
117	כא	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[5]	6	5	K17289	כא	(ל)חיבא	איפינו	_	אפיוז	3310
118	סמו	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[6]	6	6	K14268	סמו	איסמו	אסמו	_	כמו	3334
119	רודוש	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[7]	6	7	K2044	רודוש	רודוש	רודיש	רודיס	_	3357
120	כיפרוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[8]	6	8	K7562	כיפרוס	דופרוס	קורפוס	דופרוס	_	3374
121	קורקוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[1]	7	1	PL638939	קורקוס	קורקוס	קוקוס	קורקוס	קורקוס	3402
122	דוכיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[2]	7		K16830	דוכיא	הדוכיא	הרוביא	הדוכיא'	תרוניה	3420
123	מלמישטרש	/TEI[1]/text[1]/body[1]/ab[1]/seg[54]/placeName[1]	7	2	U11		מלמישטרש	מילמישטריש	מאל משטייר	מלמישטרוש	3431
124	תרשיש	/TEI[1]/text[1]/body[1]/ab[1]/seg[54]/placeName[2]	7	2	U10		תרשיש	תרשיש	תרשיש	תרשיש	3433
125	אנטוכיא הגדולה	/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[1]	7	3	K11503	אנטוכיא הגדולה	אנטוכיא	אנטוכיאה	אנטוכיה	אנטוכיא	3446-3447
126	נהר פיר	/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[2]	7		K5150	נהר פיר	נהר פיר	נהר פור	נהר פיר	נהר פור	3451
127	נחל יבוק	/TEI/text[1]/body[1]/ab[1]/seg[55]/placeName[3]			U9		נחל יבוק	נהר יבוק	נחל יבוק	נחל יבוק	3454
128	הר הלבנון	/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[3]	7		K15821	הר הלבנון	הר הלבנון	הר הלבנון	הר הלבנון	הר הלבנון	3456-3457
129	חמת	/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[5]	7		K11554	חמת	חמת	צמית	חמת	חמת	3459
130	ליגא	/TEI[1]/text[1]/body[1]/ab[1]/seg[57]/placeName[1]	7	4	GN173576	לודקיא	ליגא	ליגה	ליגה	ליגא	3531
131	לודקיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[57]/placeName[2]	7	4	GN173576	לודקיא	לודקיא	לדוקיה	לודקייא	לרוקיא	3533
132	גיבל	/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[1]	7	5	K18052	בעל גד	גיבל	לגובל	גיויל	גבאל	3546
133	בעל גד	/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[2]	7	5	K18052	בעל גד	בעל בר	בעל גד	בעל גד	בעל גר	3548-3549
134	הר הלבנון	/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[3]	7		K15821	הר הלבנון	הר הלבנון	הר הלבנון	הר הלבנון	הר הלבנו׳	3551-3552
135	קרמוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[1]	7		GN173389	קרמוס	קרמוס	קדמוס	קרמוס	קרמוס	3601
136	קדמות	/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[2]	7		GN173389	קרמוס	קדמות	קדמת סיחון	קדמות	קדמות	3605-3606
137	סיחון	/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[3]	7		U8		ארץ סיחון			ארץ סיחון	3606-3607
138	טריפול	/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[4]	7		K13529	טראבלוס אל שאם	טריפול	טריפול	טריפולי	טריפול	3638
139	טראבלוס אל שאם	/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[5]	7		K13529	טראבלוס אל שאם	טראבלוס	טרבלוס	טרווילוס	טרובלוס	3640
140	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[60]/placeName[1]	7		K2501		ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל	3668
141	גיבל	/TEI[1]/text[1]/body[1]/ab[1]/seg[61]/placeName[1]	7	6	K15288	גיבל	גיבל	גיבל	גובל	גבאל	3681
142	בירוט	/TEI[1]/text[1]/body[1]/ab[1]/seg[62]/placeName[1]	7	7	K651	בארות	בירוט	ברות	ברוטי	ביקות	3766
143	בארות	/TEI[1]/text[1]/body[1]/ab[1]/seg[62]/placeName[2]	7	7	K651	בארות	בארות	בארות	בארות	בארות	3768
144	ציידא	/TEI[1]/text[1]/body[1]/ab[1]/seg[63]/placeName[1]	7	8	K13639	צידון	ציידא	סידה	צידה	צידה	3784
145	צידון	/TEI[1]/text[1]/body[1]/ab[1]/seg[63]/placeName[2]	7	8	K13639	צידון	צידון	צידון	צידון	צידון	3786
146	חרמון	/TEI[1]/text[1]/body[1]/ab[1]/seg[64]/placeName[2]	7		K21726	חרמון	חרמון	חרמון	חרמון		3838
147	צור החדשה	/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[1]	7	9	K14095	צור החדשה	צור החדשה	צור החדשה	צור החדשה		3945-3948
148	קרקשונה	/TEI/text[1]/body[1]/ab[1]/seg[65]/persName[2]/placeName[1]	7		K10934	קרקשונה	קרקשונה		קארקשונה	[...]שונה	4018
149	צור החדשה	/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[2]	7	9	K14095	צור החדשה	צור החדשה	צור החדשה	צור החדשה	צור החדשה	4059
150	צור המעטירה	/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[3]	7		U12	צור הקדומה	צור הקדומה המעטירה	צור הקדומה	צור המעטירה	צור הקדומה	4061
151	צור החדשה	/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[4]	7	9	K14095	צור החדשה	צורה החדשה	צור החדשה	צור החדשה	צור החדשה	4089-4090
152	אקרי	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[1]	7	10	K71	אקרי	אקדי	אקרי	אקדי	אקרי	4100
153	עכו	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[2]	7	10	K71	אקרי	עכו	עכו	עכו	עכו	4102
154	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[3]	7		K2501	ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל	4110-4111
155	קדומים	/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[4]	8	11	K21499	קדומים	קדומים	קדומים	קדומים	קדומים	4133
156	כיפש	/TEI[1]/text[1]/body[1]/ab[1]/seg[67]/placeName[1]	8	12	K791	גת החפר	ניפש	קרפש	ניפים	כיפש	4149
157	גת החפר	/TEI[1]/text[1]/body[1]/ab[1]/seg[67]/placeName[2]	8	12	K791	גת החפר	גד החפה	גד החפר	גד החפה	החפר	4151-4152
158	הר הכרמל	/TEI[1]/text[1]/body[1]/ab[1]/seg[68]/placeName[1]	8		K1156	הר הכרמל	הר הכרמל	הר הכרמל	הר הכרמל	הר הכרמל	4160
159	מערת אליהו	/TEI[1]/text[1]/body[1]/ab[1]/seg[68]/placeName[2]	8		K26255	מערת אליהו	אליהו	מערת אלייהו	מערת אליהו	מערת אליהו	4170-4171
160	שנט אליש	/TEI[1]/text[1]/body[1]/ab[1]/seg[68]/placeName[3]	8		U5	שנט אליש	שנט אליש	שנת אלייש	אליאס	שאן אליש	4181-4182
