toponym-index	Toponym mention @Asher	ASHER - xpath_location	GeoNarrative	seq_number	url	id	_ - primary_rom_full	_ - primary_heb_full	geotype	lat	lng	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London
1	שרקושטה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[1]	1	1	http://geo-kima.org/Place/6347	6347	Zaragoza (Spain)	סרגוסה (ספרד)	point	41.65606	-0.87734	שרקושטה	סרקוסטא	שרקוסטה	סרקסטא
2	איברו	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[2]	1	2	https://www.geonames.org/3123754/				line			איברו	איברי	איברו	אברו
3	טורטושה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[3]	1	3	http://geo-kima.org/place/9805	9805	Tortosa (Spain)	טורטוסה (ספרד)	point	40.815111	0.523778	טורטושה		טורטוסה	טרטושא
4	טרכונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[1]	1	4	http://geo-kima.org/place/7559	7559	Tarragona (Spain)	טרגונה (ספרד)	point	41.119196	1.258058	טרבונה	נירגונה	טרבונה	תרכונה
5	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[2]	1		http://geo-kima.org/place/6471	6471		ספרד	polygon			ספרד		ספרד	ספרד
6	ברצלונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[1]	1	5	http://geo-kima.org/place/582	582	Barcelona (Spain)	ברצלונה (ספרד)	point	41.384106	2.175422	ברצלונה	ברצלונה	ברזילונה	ברצלונה
7	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[2]	1		http://geo-kima.org/place/8822	8822		יוון	polygon			יון	יון	יון	יוון
8	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[3]	1		http://geo-kima.org/place/251	251	Pisa (Italy)	פיזה (איטליה)	point	43.719417	10.400106	פישה	פיסא	פישה	
9	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[4]	1		http://geo-kima.org/place/877	877	Genoa (Italy )	גנואה (איטליה)	point	44.40766	8.93151	גינואה	יינובא	גיינובה	
10	סיסילייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[5]	1		http://geo-kima.org/place/6284	6284	Sicily (Italy)	סיציליה (איטליה)	polygon			סיסילייא	סיציליאה	סיסיליא	צקיליה
11	אלכסנדריה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[6]	1		http://geo-kima.org/place/667	667	Alexandria (Egypt)	אלכסנדריה (מצרים)	point	31.195371	29.904133	אלסכנדריא	אלכסנדר	אליכסאכרה	אסכנדריאה
12	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[7]	1		http://geo-kima.org/place/8046	8046		מצרים	polygon			מצרי'	שלמצרים	מצרים	מצרים
13	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[8]	1		http://geo-kima.org/place/2501	2501		ארץ ישראל	polygon			ארץ ישראל	ארץ ישראל	ארץ ישראל	ארץ ישראל
14	גירונדה	/TEI[1]/text[1]/body[1]/ab[1]/seg[4]/placeName[1]	1	6	http://geo-kima.org/place/8720	8720	Gerona (Spain)	גרונה (ספרד)	point	41.98311	2.82493	גירונדה	גירונה	גירונה	גרונדה
15	נרבונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[5]/placeName[1]	1	7	http://geo-kima.org/place/10031	10031	Narbonne (France)	נרבון (צרפת)	point	43.184722	3.003611	נרבונה	נרבונה	נירבונה	
16	בידרש	/TEI[1]/text[1]/body[1]/ab[1]/seg[6]/placeName[1]	1	8	http://geo-kima.org/place/7195	7195	Béziers (France)	בזייה (צרפת)	point	43.339552	3.214097	בידרש	בדרש	בידרש	בדרש
17	הר געש הנקרא מונפישלייר	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[1]	1	9	http://geo-kima.org/place/7467	7467	Montpellier (France)	מונפלייה (צרפת)	point	43.608176	3.8794455	הר געש הנקרא מונפישלייר	הר געש הנקר׳ מונפישליר	הר געש הנקר׳ מונפישלייר	געש הנקרא מונט פשליר
18	אל-ערוה	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[2]	1		http://geo-kima.org/place/7951	7951	Algarve (Portugal)	אלגארבה (פורטוגל)	polygon			אל עדוה		אלעדוה	אל עדוה
19	לונברדייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[3]	1		http://geo-kima.org/place/10968	10968	Lombardy (Italy)	לומברדיה (איטליה)	polygon			לונברדייא	לומרדיאה	למוברדיאה	לונברדיאה
20	רומא רבתא	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[4]	1		http://geo-kima.org/place/7637	7637		רומי	polygon			רומא רבתא	רומה רבתא	רומה רבתא	רומה רבתא
21	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[5]	1		http://geo-kima.org/place/8046	8046		מצרים	polygon			מצרים		מצרים	מצרים
22	ארץ ישראל	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[6]	1		http://geo-kima.org/place/2501	2501		ארץ ישראל	polygon			ארץ ישראל		ארץ ישראל	ארץ ישראל
23	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[7]	1		http://geo-kima.org/place/8822	8822		יוון	polygon			יון		יון	יוון
24	צרפת	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[8]	1		http://geo-kima.org/place/6399	6399		צרפת	polygon			צרפת		צרפת	צרפת
25	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[9]	1		http://geo-kima.org/Place/6471	6471		ספרד	polygon			ספרד		ספרד	
26	אינגלטירה	/TEI[1]/text[1]/body[1]/ab[1]/seg[7]/placeName[10]	1		http://geo-kima.org/place/12708	12708		אנגליה	polygon			אינגלטירה		אינגילטירה	אינגלטירא
27	לוניל	/TEI[1]/text[1]/body[1]/ab[1]/seg[8]/placeName[1]	1	10	http://geo-kima.org/place/12204	12204	Lunel (France)	לוניל (צרפת)	point	43.67778	4.13611	לוניל	לוניל	לוניל	לוניל
28	פותייקיירש	/TEI[1]/text[1]/body[1]/ab[1]/seg[9]/placeName[1]	1	11	http://geo-kima.org/place/7808	7808	Vauvert (France)	וואוברט (צרפת)	point	43.6942	4.2769	פותייקיירש		פורייקיירש	פושקרש
29	נוגריש	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[1]	1	12	http://geo-kima.org/place/10262	10262	Saint-Gilles (Gard, France)	סנט-ג'ילס (גארד, צרפת)	point	43.6786	4.4317	נוגרש	מגרש	נוגרש	מגרש
30	בורק דשל גיל	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[2]	1	12	http://geo-kima.org/place/10262	10262	Saint-Gilles (Gard, France)	סנט-ג'ילס (גארד, צרפת)	point	43.6786	4.4317	בורק דשל גיל	בורגו דשינגילי	בורקרשאלגיל	בורגו דשגיל
31	רודי	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[3]	1		http://geo-kima.org/place/2047	2047	Rhône River (Switzerland and France)	רון (נהר, שווייץ וצרפת)	line			רודי	רואתנו	רודי	רודנו
32	פרובנצה	/TEI[1]/text[1]/body[1]/ab[1]/seg[10]/placeName[4]	1		http://geo-kima.org/place/8962	8962	Provence (France)	פרובנס (צרפת)	polygon			פרובנצה	פירובינצא	פרובינצא	פרובינסה.
33	ארליט	/TEI[1]/text[1]/body[1]/ab[1]/seg[11]/placeName[1]	1	13	http://geo-kima.org/place/7224	7224	Arles (France)	ארל (צרפת)	point	43.676944	4.628611	ארליט		אליש	ארליד
34	מרשילייה	/TEI[1]/text[1]/body[1]/ab[1]/seg[12]/placeName[1]	1	14	http://geo-kima.org/place/7085	7085	Marseille (France)	מרסי (צרפת)	point	43.299467	5.365307	מרשילייה	מרשילה	מרסיליא	מרשיליה
35	מגדל למעלה	/TEI[1]/text[1]/body[1]/ab[1]/seg[12]/placeName[2]	1		http://geo-kima.org/place/7085	7085	Marseille (France)	מרסי (צרפת)	point	43.299467	5.365307				
36	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[1]	2	1	http://geo-kima.org/place/877	877	Genoa (Italy )	גנואה (איטליה)	point	44.40766	8.93151	גינואה	ייניבה	גיינובא	יינובה
37	סבתה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[2]	2		http://geo-kima.org/place/8782	8782	Ceuta (Spain)	סאוטה (ספרד)	point	35.9000363	-5.4164103	סבתה	סיבתיא	סבתה	סבתה
38	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[3]	2	1	http://geo-kima.org/place/877	877	Genoa (Italy )	גנואה (איטליה)	point	44.40766	8.93151	גינואה	יינובה	גיינובא	יינובה
39	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[4]	2	2	http://geo-kima.org/place/251	251	Pisa (Italy)	פיזה (איטליה)	point	43.719417	10.400106	פישא	פיסא	פיסה	פיסא
40	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[14]/placeName[1]	2	2	http://geo-kima.org/place/251	251	Pisa (Italy)	פיזה (איטליה)	point	43.719417	10.400106	פישא	פיסא	פיסה	פיסא
41	לוקא	/TEI[1]/text[1]/body[1]/ab[1]/seg[15]/placeName[1]	2	3	http://geo-kima.org/place/6491	6491	Lucca (Italy)	לוקה (איטליה)	point	43.840677	10.50602	לוקא	לוקה	לוקה	לוכה
42	רומא רבתא	/TEI[1]/text[1]/body[1]/ab[1]/seg[16]/placeName[1]	2	4	http://geo-kima.org/Places/440	440	Rome (Italy)	רומא (איטליה)	point	41.893056	12.482778	רומא רבתא	רומה רבתא	רומי רבתא	רומה רבתא
53	קושטנטינופולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[17]/placeName[12]	3		http://geo-kima.org/place/533	533	Istanbul (Turkey)	איסטנבול (תורכיה)	point	41.012379	28.975926	קושטנטינופלי	קוסטנטינופולי	קוסטאנטינופילו	
54	קפואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[18]/placeName[1]	4	1	http://geo-kima.org/place/6800	6800	Capua (Italy)	קפואה (איטליה)	point	41.1061258	14.2130486	לקפואה	לקפיאה	לקאפואה	לקפיאה
55	פוצול	/TEI[1]/text[1]/body[1]/ab[1]/seg[19]/placeName[1]	4	2	http://geo-kima.org/place/9790	9790	Pozzuoli (Italy)	פוצואולי (איטליה)	point	40.84394	14.0952	לפוצול	לפצילי	לפיצולו	לפוצוילי
56	סוריינטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[19]/placeName[1]	4	2	http://geo-kima.org/place/9809	9809	Sorrento (Italy)	סורנטו (איטליה)	point	40.624604	14.365806	סוריינטו	סוריינטו	סיריינטו	סוריינטו
57	לונברדיאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[19]/placeName[2]	4		http://geo-kima.org/place/10968	10968	Lombardy (Italy)	לומברדיה (איטליה)	polygon			לונברדיאה	לומרדיאה	לומברדיאה	לונברדיאה
58	רומא	/TEI[1]/text[1]/body[1]/ab[1]/seg[20]/placeName[1]	4		http://geo-kima.org/place/440	440	Rome (Italy)	רומא (איטליה)	point	41.89262	12.4843457	רומ׳	דומה	רומי	רומה
59	נאפולי		4	3	http://geo-kima.org/place/673	673	Naples (Italy)	נאפולי (איטליה)	point	40.829595	14.21755	נאפול		נאפולי	נאפולי
60	שלירנה	/TEI[1]/text[1]/body[1]/ab[1]/seg[21]/placeName[1]	4	4	http://geo-kima.org/place/6373	6373	Salerno (Italy)	סלרנו (איטליה)	point	40.6779567	14.7659122	שלירפה	סלירנה	סלירפה	סלירנה
61	ציפונת	/TEI[1]/text[1]/body[1]/ab[1]/seg[21]/placeName[2]	4		http://geo-kima.org/place/7024	7024	Siponto (Italy)	סיפונטו (איטליה)	point	41.6084823	15.8897665	ציפונת		צפונת	ציפינת
62	אמלפי	/TEI[1]/text[1]/body[1]/ab[1]/seg[22]/placeName[1]	4	5	http://geo-kima.org/place/6262	6262	Amalfi (Italy)	אמלפי (איטליה)	point	40.63443	14.60318	לאמלפי	למלכי	למלאלפי	מלכי
63	בינאבינטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[23]/placeName[1]	4	6	http://geo-kima.org/place/6449	6449	Benevento (Italy)	בנוונטו (איטליה)	point	41.13155	14.77433	לבנאבינטו	לבינבנטו	לביניווינטו	לבנבנתו
64	מלפי	/TEI[1]/text[1]/body[1]/ab[1]/seg[24]/placeName[1]	4	7	http://geo-kima.org/place/12281	12281	Melfi (Italy)	מלפי (איטליה)	point	40.99571	15.65578	ממלכי	למלפה	למלפי	למלפי
65	פולייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[24]/placeName[2]	4		http://geo-kima.org/place/7555	7555	Puglia (Italy)	פוליה (איטליה)	polygon	41.25	15.75	פוליא	פוליא	פוליא	פוליאה
66	ארץ פול	/TEI[1]/text[1]/body[1]/ab[1]/seg[24]/placeName[3]	4		http://geo-kima.org/place/7555	7555	Puglia (Italy)	פוליה (איטליה)	polygon	41.25	15.75	ארץ פול	ארץ פול	ארץ פול	ארץ פול
67	אשקולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[25]/placeName[1]	4	8	https://www.geonames.org/3182747				point	42.8554	13.57495	לאסקולי		לאסקולי	לאשכולי
68	טרנאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[26]/placeName[1]	4	9	http://geo-kima.org/place/7879	7879	Trani (Italy)	טראני (איטליה)	point	41.27733	16.41011	לטרנאה	לטרני	לטראני	לטראני
69	ירושלים	/TEI[1]/text[1]/body[1]/ab[1]/seg[26]/placeName[2]	4		http://geo-kima.org/place/691	691	Jerusalem (Israel)	ירושלים (ישראל)	point	31.776667	35.234167	ירושלם	ירושלם	ירושלם	ירושלם
70	מיקילס דבר	/TEI[1]/text[1]/body[1]/ab[1]/seg[27]/placeName[1]	4	10	http://geo-kima.org/Places/7504	7504	Bari (Italy)	בארי (איטליה)	point	41.13031	16.87014	למיקילס	לנקולוש	למיקולסדבר	לקול
71	ציקיליה	/TEI[1]/text[1]/body[1]/ab[1]/seg[27]/persName[1]/placeName[1]	4		http://geo-kima.org/place/6284	6284	Sicily (Italy)	סיציליה (איטליה)	polygon	37.53667612	14.08648465	ציקיליה	סיציליאה	ציקיליא'	צקיליה
72	טראנטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[28]/placeName[1]	4	11	http://geo-kima.org/place/8176	8176	Taranto (Italy)	טאראנטו (איטליה)	point	40.476034	17.228553	לטרנטו	לטרנטו	לטראטו	לטירטנו
73	קלאבריאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[28]/placeName[2]	4		http://geo-kima.org/place/7660	7660	Calabria (Italy)	קלבריה (איטליה)	polygon	40.75	17.75	קלאבריאה	קלבריאה	קלאבריא'	קלבריה
74	ברנדישי	/TEI[1]/text[1]/body[1]/ab[1]/seg[29]/placeName[1]	4	12	http://geo-kima.org/place/11068	11068	Brindisi (Italy)	ברינדיזי (איטליה)	point	40.641136	17.946867	לברנדיס	לברינבס	לנרניס	לברנדיש
75	אוטרנדו	/TEI[1]/text[1]/body[1]/ab[1]/seg[30]/placeName[1]	5	1	http://geo-kima.org/place/7029	7029	Otranto (Italy)	אוטרנטו (איטליה)	point	40.145948	18.490953	לאורנדו	לאוסרינטו	לאורנארו	לאורדינדו
76	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[30]/placeName[2]	5		http://geo-kima.org/Place/8822	8822		יוון	polygon						
77	קרופוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[31]/placeName[1]	5	2	http://geo-kima.org/Places/1039	1039	Corfu Island (Greece)	קורפו, אי (יוון)	point	39.60733	19.92178	לאוקרופוס	לקופרו	לאוקרופוס	לאקורפוס
78	לבטה	/TEI[1]/text[1]/body[1]/ab[1]/seg[32]/placeName[1]	5	3	http://geo-kima.org/Place/20954	20954	Arta (Greece)	ארטה (יוון)	point	39.159	20.985	לבטה	לארטה	לבאנטה	לרנוה
79	נטוליקון	/TEI[1]/text[1]/body[1]/ab[1]/seg[34]/placeName[1]	5	5	https://www.geonames.org/265507				point	40.66152	22.7119	לנטוליקון	לנטוליקון	לנאטוליקץ	לנטוליקון
79	אכילון	/TEI[1]/text[1]/body[1]/ab[1]/seg[33]/placeName[1]	5	4	-				point	39.04107	20.95316	אכילון	אפילון	אקילץ	אפילון
80	פטרה	/TEI[1]/text[1]/body[1]/ab[1]/seg[35]/placeName[1]	5	6	http://geo-kima.org/place/12768	12768	Patrai (Greece)	פטרס (יוון)	point	38.243265	21.738518	לפטרה	_	לפאטרה	_
